Match,UnitId,XFromLeft,YFromBottom,Level,Star,Round,AbilityEnabled
1,UnitCyborg,3,3,1,0,1,FALSE
,UnitCyborg,1,3,1,0,2,FALSE
,UnitCyborg,5,3,1,0,2,FALSE
,UnitCyborg,1,3,1,0,3,FALSE
,UnitCyborg,5,3,1,0,3,FALSE
,UnitMachine-gunner,3,3,5,0,3,FALSE
2,UnitCyborg,1,2,1,0,1,FALSE
,UnitCyborg,5,2,1,0,1,FALSE
,UnitCyborg,1,2,1,0,2,FALSE
,UnitCyborg,5,2,1,0,2,FALSE
,UnitDemoman,3,1,1,0,2,FALSE
,UnitDemoman,1,2,1,0,3,FALSE
,UnitDemoman,5,2,1,0,3,FALSE
,UnitBatter,3,3,1,0,3,FALSE
,UnitBatter,1,3,1,0,4,FALSE
,UnitBatter,5,3,1,0,4,FALSE
,UnitDemoman,1,2,1,0,4,FALSE
,UnitDemoman,5,2,1,0,4,FALSE
,UnitMachine-gunner,3,2,30,1,5,FALSE
3,UnitSniper,1,1,1,0,1,FALSE
,UnitSniper,5,1,1,0,1,FALSE
,UnitBatter,2,3,1,0,2,FALSE
,UnitBatter,3,3,1,0,2,FALSE
,UnitBatter,4,3,1,0,2,FALSE
,UnitCyborg,1,1,1,0,3,FALSE
,UnitCyborg,2,1,1,0,3,FALSE
,UnitCyborg,3,1,1,0,3,FALSE
,UnitCyborg,4,1,1,0,3,FALSE
,UnitCyborg,5,1,1,0,3,FALSE
,UnitSniper,1,1,1,0,4,FALSE
,UnitSniper,5,1,1,0,4,FALSE
,UnitBatter,2,3,1,0,4,FALSE
,UnitBatter,3,3,1,0,4,FALSE
,UnitBatter,4,3,1,0,4,FALSE
,UnitPyromaniac,3,2,50,1,5,FALSE
4,UnitDemoman,1,2,1,0,1,FALSE
,UnitDemoman,5,2,1,0,1,FALSE
,UnitBatter,3,3,1,0,1,FALSE
,UnitShieldBearer,1,3,1,0,2,FALSE
,UnitShieldBearer,5,3,1,0,2,FALSE
,UnitBatter,3,2,1,0,2,FALSE
,UnitPyromaniac,1,2,5,1,3,FALSE
,UnitPyromaniac,5,2,5,1,3,FALSE
,UnitBatter,1,3,1,0,4,FALSE
,UnitBatter,2,3,1,0,4,FALSE
,UnitBatter,3,3,1,0,4,FALSE
,UnitBatter,4,3,1,0,4,FALSE
,UnitBatter,5,3,1,0,4,FALSE
,UnitShieldBearer,1,3,1,0,5,FALSE
,UnitShieldBearer,2,3,1,0,5,FALSE
,UnitShieldBearer,3,3,1,0,5,FALSE
,UnitShieldBearer,4,3,1,0,5,FALSE
,UnitShieldBearer,5,3,1,0,5,FALSE
5,UnitDemoman,1,1,1,0,1,FALSE
,UnitDemoman,5,1,1,0,1,FALSE
,UnitBatter,2,2,1,0,2,FALSE
,UnitBatter,4,2,1,0,2,FALSE
,UnitShieldBearer,3,2,10,0,2,FALSE
,UnitDemoman,1,1,1,0,3,FALSE
,UnitDemoman,2,1,1,0,3,FALSE
,UnitDemoman,3,1,1,0,3,FALSE
,UnitDemoman,4,1,1,0,3,FALSE
,UnitDemoman,5,1,1,0,3,FALSE
,UnitShieldBearer,1,3,1,0,4,FALSE
,UnitShieldBearer,3,3,1,0,4,FALSE
,UnitShieldBearer,5,3,1,0,4,FALSE
,UnitBatter,2,2,1,0,4,FALSE
,UnitBatter,4,2,1,0,4,FALSE
,UnitShocker,3,3,70,1,5,FALSE
6,UnitNinja,1,1,1,0,1,FALSE
,UnitNinja,5,1,1,0,1,FALSE
,UnitNinja,1,1,1,0,2,FALSE
,UnitNinja,3,1,1,0,2,FALSE
,UnitNinja,5,1,1,0,2,FALSE
,UnitNinja,1,1,1,0,3,FALSE
,UnitNinja,2,1,1,0,3,FALSE
,UnitNinja,3,1,1,0,3,FALSE
,UnitNinja,4,1,1,0,3,FALSE
,UnitNinja,5,1,1,0,3,FALSE
,UnitNinja,1,1,1,0,4,FALSE
,UnitNinja,2,1,1,0,4,FALSE
,UnitNinja,3,1,1,0,4,FALSE
,UnitNinja,4,1,1,0,4,FALSE
,UnitNinja,5,1,1,0,4,FALSE
,UnitShieldBearer,3,3,1,0,4,FALSE
,UnitBoxer,3,3,70,1,5,FALSE
7,UnitAdventuress,1,3,1,0,1,FALSE
,UnitAdventuress,5,3,1,0,1,FALSE
,UnitMachine-gunner,3,3,1,0,2,FALSE
,UnitCyborg,1,2,1,0,2,FALSE
,UnitCyborg,3,2,1,0,2,FALSE
,UnitCyborg,5,2,1,0,2,FALSE
,UnitSniper,1,1,1,0,3,FALSE
,UnitSniper,5,1,1,0,3,FALSE
,UnitShieldBearer,3,3,10,0,3,FALSE
,UnitDemoman,1,2,1,0,4,FALSE
,UnitDemoman,3,2,1,0,4,FALSE
,UnitDemoman,5,2,1,0,4,FALSE
,UnitShieldBearer,2,3,1,0,4,FALSE
,UnitShieldBearer,4,3,1,0,4,FALSE
,UnitSuperHero,3,2,85,1,5,FALSE
