UnitId,Armor,MoveSpeed,DodgeChance,PhysicalResistance,FireResistance,ElectricalResistance,PoisonResistance,Attack,AttackDistance,AttackRangeInCells,AttackInterval,CriticalChance,CriticalDamage,AttackTypes,PhysicalDamageBuff,FireDamageBuff,ElectricalDamageBuff,PoisonDamageBuff,Health,HealthRecoveryPerAttack,HealthRecoveryPerHit,HealthRecoveryPerSecond,HealthRecoveryPerDeath,Rarity,StartingStars,Fraction,Set,EnergyMax,EnergyStarting,EnergyRecoveryPerAttack,EnergyRecoveryPerHit,EnergyRecoveryPerSecond,EnergyRecoveryPerDeath,AbilityEnabled
UnitBatter,0,10,0,0,0,0,0,3,0,1,1,0,2,Physical,1,0,0,0,20,0,0,0,0,Common,1,"Fighters, Strength",1,1000,0,100,100,10,50,FALSE
UnitNinja,0,10,0,0,0,0,0,7,0,1,1,0,2,Physical,1,0,0,0,47,0,0,0,0,Common,1,"Strongmens,StrongDefense,Opposites",1,1000,0,50,150,10,50,FALSE
UnitShocker,0,10,0,0,0,0,0,17,0,1,1,0,2,Physical,1,0,0,0,112,0,0,0,0,Common,1,"Strongmens,Strength",1,1000,0,100,50,10,50,FALSE
UnitBoxer,0,10,0,0,0,0,0,40,0,1,1,0,2,Physical,1,0,0,0,264,0,0,0,0,Common,1,"Fighters,Electricity",1,1000,0,100,50,10,50,FALSE
UnitShieldBearer,0,10,0,0,0,0,0,93,0,1,1,0,2,Physical,1,0,0,0,622,0,0,0,0,Common,1,"Fighters,Electricity",1,1000,0,100,50,10,50,FALSE
UnitCyborg,0,10,0,0,0,0,0,4,0,7,1,0,2,Physical,1,0,0,0,8,0,0,0,0,Common,1,"Fire, Firearms",1,1000,0,100,50,10,50,FALSE
UnitSniper,0,10,0,0,0,0,0,10,0,7,1,0,2,Physical,1,0,0,0,19,0,0,0,0,Common,1,"One-eyed, Poison",1,1000,0,150,50,10,50,FALSE
UnitMachine-gunner,0,10,0,0,0,0,0,23,0,7,1,0,2,Physical,1,0,0,0,45,0,0,0,0,Common,1,"Opposites, CombatAssistance",1,1000,0,150,50,10,50,FALSE
UnitDemoman,0,10,0,0,0,0,0,54,0,7,1,0,2,Physical,1,0,0,0,108,0,0,0,0,Common,1,"CombatAssistance,Fire",1,1000,0,100,100,10,50,FALSE
UnitPyromaniac,0,10,0,0,0,0,0,128,0,7,1,0,2,Physical,1,0,0,0,256,0,0,0,0,Common,1,"CombatAssistance,Fire",1,1000,0,100,100,10,50,FALSE
UnitAdventuress,5,15,0,0,0,0,0,700,0,1,1,0,2,Physical,1,0,0,0,3500,0,0,0,0,Common,1,"Support, Dodgers, Electricity",1,1000,0,100,50,10,50,FALSE
UnitMedic,5,10,0,0,0,0,0,300,0,3,1,0,2,Physical,1,0,0,0,2000,0,0,0,0,Common,1,"StrongDefense,Support",1,1000,0,100,50,10,50,FALSE
UnitSuperHero,5,10,0,0,0,0,0,300,0,3,1,0,2,Physical,1,0,0,0,2000,0,0,0,0,Common,1,"StrongDefense,Support",1,1000,0,100,50,10,50,FALSE
